customer,External ID,license number,order_date,orderID,customer_po,start_ship_date,bill_street,bill_street2,bill_city,bill_state,bill_postcode,bill_country,ship_street,ship_street2,ship_city,ship_state,ship_postcode,ship_country,phone,fax,email,contact,rep,cancel_date,ship_method,notes,sku,brand,product_line,Qty (Units),Qty (Cases),product,sale_price,is_sample,customer_external_id,payment_terms,payment_methods,original_sale_price,source,manual,externalOrderID,original_unit_price,status,line_item_total,strain,strain_classification,category,service_zone,unit_price,paid,paid_date,paid_approver,custom_menu_price,production_batch_number,created_by,buyer_paid,delivered_date,Discount %,Discount $,Approximate Discounted Product Price,Effective Discount Line Item Total,sub_category,unit_of_measure,base_units_per_unit,Facility
Sweet Leaf Cannabis,0004506033,050-10152657D49,2022-09-01 09:30 AM,fba57bcb,,2022-09-07,3912 Main St,,Springfield,OR,97478,United States of America,3912 Main St,,Springfield,OR,97478,United States of America,,,slcholdingsco@gmail.com,Cindy Standish,Courtney Rush,,,,DISCO-LR2-SAT-BRYPIE-40193-083122,Disco Dabs,Disco Dabs - Live Resin | 2 grams,10.0000,1,Berry Pie Live Resin | 2 grams,$140.00,False,,COD (Collect On Delivery),Cash,,leaflink,False,0004506033,$150.00,Complete,$140.00,Berry Pie,Sativa,Concentrates,,$150.00,False,,,,,Cindy Standish,False,,0.00,$0.00,$140.00,$140.00,Live Resin,Unit,1 Unit,Warehouse 01
Sweet Leaf Cannabis,0004506033,050-10152657D49,2022-09-01 09:30 AM,fba57bcb,,2022-09-07,3912 Main St,,Springfield,OR,97478,United States of America,3912 Main St,,Springfield,OR,97478,United States of America,,,slcholdingsco@gmail.com,Cindy Standish,Courtney Rush,,,,DISCO-LR2-SAT-BBLGMBRTH-40473-083122,Disco Dabs,Disco Dabs - Clearance,10.0000,1,Bubble Gum Breath Live Resin | 2 grams,$140.00,False,,COD (Collect On Delivery),Cash,,leaflink,False,0004506033,$150.00,Complete,$140.00,Bubble Gum Breath,Sativa,Concentrates,,$150.00,False,,,,,Cindy Standish,False,,0.00,$0.00,$140.00,$140.00,Live Resin,Unit,1 Unit,Warehouse 01
Sweet Leaf Cannabis,0004506033,050-10152657D49,2022-09-01 09:30 AM,fba57bcb,,2022-09-07,3912 Main St,,Springfield,OR,97478,United States of America,3912 Main St,,Springfield,OR,97478,United States of America,,,slcholdingsco@gmail.com,Cindy Standish,Courtney Rush,,,,DISCO-LR2-IND-DSIPNCH-28008-083122,Disco Dabs,Disco Dabs - Clearance,10.0000,1,Dosi Punch Live Resin | 2 grams,$140.00,False,,COD (Collect On Delivery),Cash,,leaflink,False,0004506033,$150.00,Complete,$140.00,Dosi Punch,Indica,Concentrates,,$150.00,False,,,,,Cindy Standish,False,,0.00,$0.00,$140.00,$140.00,Live Resin,Unit,1 Unit,Warehouse 01
Sweet Leaf Cannabis,0004506033,050-10152657D49,2022-09-01 09:30 AM,fba57bcb,,2022-09-07,3912 Main St,,Springfield,OR,97478,United States of America,3912 Main St,,Springfield,OR,97478,United States of America,,,slcholdingsco@gmail.com,Cindy Standish,Courtney Rush,,,,DISCO-LR2-HYB-EMOJIGOJI-39924-060222,Disco Dabs,Disco Dabs - Live Resin | 2 grams,10.0000,1,Emoji Goji Live Resin | 2 grams,$140.00,False,,COD (Collect On Delivery),Cash,,leaflink,False,0004506033,$150.00,Complete,$140.00,Emoji Goji,Hybrid,Concentrates,,$150.00,False,,,,,Cindy Standish,False,,0.00,$0.00,$140.00,$140.00,Live Resin,Unit,1 Unit,Warehouse 01
Sweet Leaf Cannabis,0004506033,050-10152657D49,2022-09-01 09:30 AM,fba57bcb,,2022-09-07,3912 Main St,,Springfield,OR,97478,United States of America,3912 Main St,,Springfield,OR,97478,United States of America,,,slcholdingsco@gmail.com,Cindy Standish,Courtney Rush,,,,DISCO-SH-IND-G13-40051-081122,Disco Dabs,Disco Dabs - Shatter | 1 gram,20.0000,1,G13 Disco Dabs Shatter,$100.00,False,,COD (Collect On Delivery),Cash,,leaflink,False,0004506033,$120.00,Complete,$100.00,G13,Indica,Concentrates,,$120.00,False,,,,,Cindy Standish,False,,0.00,$0.00,$100.00,$100.00,Shatter,Unit,1 Unit,Warehouse 01
Sweet Leaf Cannabis,0004506033,050-10152657D49,2022-09-01 09:30 AM,fba57bcb,,2022-09-07,3912 Main St,,Springfield,OR,97478,United States of America,3912 Main St,,Springfield,OR,97478,United States of America,,,slcholdingsco@gmail.com,Cindy Standish,Courtney Rush,,,,DISCO-SH-HYB-GRLCGLUE-40167-083122,Disco Dabs,Disco Dabs - Clearance,20.0000,1,Garlic Glue Disco Dabs Shatter,$100.00,False,,COD (Collect On Delivery),Cash,,leaflink,False,0004506033,$120.00,Complete,$100.00,GARLIC GLUE,Hybrid,Concentrates,,$120.00,False,,,,,Cindy Standish,False,,0.00,$0.00,$100.00,$100.00,Shatter,Unit,1 Unit,Warehouse 01
Sweet Leaf Cannabis,0004506033,050-10152657D49,2022-09-01 09:30 AM,fba57bcb,,2022-09-07,3912 Main St,,Springfield,OR,97478,United States of America,3912 Main St,,Springfield,OR,97478,United States of America,,,slcholdingsco@gmail.com,Cindy Standish,Courtney Rush,,,,DISCO-LR2-IND-GRNMLS-40503-083122,Disco Dabs,Disco Dabs - Live Resin | 2 grams,10.0000,1,Granimals Live Resin | 2 grams,$140.00,False,,COD (Collect On Delivery),Cash,,leaflink,False,0004506033,$150.00,Complete,$140.00,Granimals,Indica,Concentrates,,$150.00,False,,,,,Cindy Standish,False,,0.00,$0.00,$140.00,$140.00,Live Resin,Unit,1 Unit,Warehouse 01
Sweet Leaf Cannabis,0004506033,050-10152657D49,2022-09-01 09:30 AM,fba57bcb,,2022-09-07,3912 Main St,,Springfield,OR,97478,United States of America,3912 Main St,,Springfield,OR,97478,United States of America,,,slcholdingsco@gmail.com,Cindy Standish,Courtney Rush,,,,DISCO-LR2-HYB-JLLYBN-40189-083122,Disco Dabs,Disco Dabs - Clearance,10.0000,1,Jillybean Live Resin | 2 grams,$140.00,False,,COD (Collect On Delivery),Cash,,leaflink,False,0004506033,$150.00,Complete,$140.00,Jillybean,Hybrid,Concentrates,,$150.00,False,,,,,Cindy Standish,False,,0.00,$0.00,$140.00,$140.00,Live Resin,Unit,1 Unit,Warehouse 01
Cannabis Curb,0004493445,050-101564175EC,2022-09-01 11:02 AM,13fed8ed,,2022-09-02,4069 NE MLK Jr Blvd,,Portland,OR,97212,United States of America,4069 NE MLK Jr Blvd,,Portland,OR,97212,United States of America,,,Mylea@sitkanw.com,Mylea Parker,Mylea Parker,,,,DISCO-LRBC-IND-CHRRYCHSCK-40513-081722,Disco Dabs,Disco Dabs - Live Resin Blend Cartridges (1g),1.0000,0.1,Cherry Cheesecake Live Resin Blend Cartridge,$0.00,True,,COD (Collect On Delivery),Cash,$79.90,leaflink,True,0004493445,$100.00,Fulfilled,$0.00,Cherry Cheesecake,Indica,Cartridges,,$0.00,False,,,,,Mylea Parker,False,,0.00,$0.00,$0.00,$0.00,510 Thread,Unit,1 Unit,Warehouse 01
Cannabis Curb,0004493445,050-101564175EC,2022-09-01 11:02 AM,13fed8ed,,2022-09-02,4069 NE MLK Jr Blvd,,Portland,OR,97212,United States of America,4069 NE MLK Jr Blvd,,Portland,OR,97212,United States of America,,,Mylea@sitkanw.com,Mylea Parker,Mylea Parker,,,,DISCO-LRC-SAT-LMNCRMExZNHLK-40398-081022,Disco Dabs,Disco Dabs - Pure Live Resin Cartridges,1.0000,0.1,Lemon Creme x Zen Hulk Live Resin Cartridge,$0.00,True,,COD (Collect On Delivery),Cash,,leaflink,True,0004493445,$150.00,Fulfilled,$0.00,Lemon Creme x Zen Hulk,Sativa,Cartridges,,$0.00,False,,,,,Mylea Parker,False,,0.00,$0.00,$0.00,$0.00,510 Thread,Unit,1 Unit,Warehouse 01
